Souhait=inconnU/Installé/suppRimé/Purgé/H=à garder 
| État=Non/Installé/fichier-Config/dépaqUeté/échec-conFig/H=semi-installé 
|/ Err?=(aucune)/H=à garder/besoin
||/ Nom Version
+++-===============================-===============================-==============================================================================  
ii 3270-common 3.2.20-2
ii a2ps 4.13b+cvs.2003.09.20-1.1
ii aalib-bin 1.4p5-19
ii aalib1 1.4p5-19
ii adduser 3.51
ii afio 2.5-1
ii alien 8.43
ii alsa-headers 1.0.1-1
ii anacron 2.3-7
ii apache 1.3.29.0.1-5
ii apache-common 1.3.29.0.1-5
ii apache-utils 1.3.29.0.1-5
ii apmd 3.2.1-2
ii apt 0.5.22
ii apt-show-versions 0.05
ii apt-utils 0.5.22
ii arpwatch 2.1a11-6.1
ii ash-knoppix 0.2-4
ii aspell 0.50.5-1
ii aspell-bin 0.50.5-1
ii aspell-de 0.50-2-1
ii aspell-en 0.51-1-1
ii aspell-es 0.50-2-2
ii aspell-fr 0.50-3-2
ii at 3.1.8-11
ii atitvout 0.4-2
ii atmelwlandriver 2.1.2.2-1
ii atmelwlandriver-tools 2.1.1-3.3
ii attr 2.4.15-1
ii auctex 11.13-2
ii audacity 1.2.0-3
ii aumix 2.8-6
ii autoconf 2.59-2
ii autofs 3.9.99-4.0.0pre10-16
ii automake1.7 1.7.9-3
ii automount-knoppix 0.5-4
ii autotools-dev 20040105.1
ii base-files 3.0.12
ii base-passwd 3.5.7
ii bash 2.05b-13
ii bbdb 2.34.cvs20030503-1
ii bc 1.06-12
ii bin86 0.16.14-1
ii bind9 9.2.3-2
ii bing 1.1.3-1
ii binutils 2.14.90.0.7-5
ii binutils-dev 2.14.90.0.7-5
ii bison 1.875a-1
ii bittorrent 3.3-3
ii blt 2.4z-2
ii blt-common 2.4z-2
ii bonnie++ 1.03a
ii bridge-utils 0.9.6-5
ii brltty 3.4.1-2
ii bsdmainutils 6.0.11
ii bsdutils 2.12-6
ii buffer 1.19-4
ii bximage 2.1rel-4
ii bzip2 1.0.2-1
ii cabextract 0.6-1
ii cdbackup 0.6.3-3
ii cdda2wav 2.0+a25-1
ii cddb 2.6-17
ii cdparanoia 3a9.8-10
ii cdrdao 1.1.7-5
ii cdrecord 2.0+a25-1
ii cdtool 2.1.5-7
ii checkmem 0.5-2
ii chkrootkit 0.43-1
ii cloop-module 2.01-1
hi cloop-utils 2.01-1
ii colorgcc 1.3.2.0-2
ii comerr-dev 2.1-1.34+1.35-WIP-2004.01.31-1
ii configure-xawtv 0.1-6
ii console-common 0.7.35
ii console-data 2002.12.04dbs-29
ii console-tools 0.2.3dbs-48
ii coreutils 5.0.91-2
ii cpio 2.5-1.1
ii cpp 3.3.2-2
ii cpp-2.95 2.95.4-19
ii cpp-3.2 3.2.3-9
ii cpp-3.3 3.3.3-0pre3
ii cpuburn 1.4-4
ii cramfsprogs 1.1-4
ii cron 3.0pl1-83
ii csh 20020413-1
ii cupsconfig-knoppix 0.5-7
ii cupsys 1.1.20final-14
ii cupsys-bsd 1.1.20final-14
ii cupsys-client 1.1.20final-14
